Aluno,Praticas,Nota,Ano
fad526dcdaacbd0771ef002a8cb97bb1,,0,2021
55ad298584e76c3d8d4b6ee323070c7a,"2,5","29,3462",2021
370e78ad0e22c462ef940d92ff726f60,"3,5","21,6473",2021
2b5a02d55c8e494f3815058af9eec85f,"5,00","76,50",2020
ad229fb205bc55f579fb585d822e6a62,"1,00","4,00",2020
d0ca98e1af20d4bc4c471ae3c73c8ffd,"0,00","0,00",2020
c4d14e39372b7c44ba0c58cc730562ce,"0,00","0,00",2020
63271f6a48879ef3dbd5047096de1cc4,"5,00","75,81",2020
13a129dc8d94fd278dbc5b1530375b5c,"0,00","0,00",2020
d1e140fbdc82285ebf055025b8b8f94a,"5,00","102,66",2020
d02417f1181c9baaa92fca5c484aceb6,"5,00","89,90",2020
4895b4d55bcc58fbe7edcfc50aeda13a,"0,00","0,00",2020
af9c8edb58caaabba8a39f9691c0fd4c,"0,00","11,50",2020
b620fe75ee733343c4f8ca9e1589cf1d,"5,00","65,93",2020
dfd5fbe2fe470df980603636be9d1471,"0,00","0,00",2020
9c041739baab7ab7f497a8511c8109a4,"0,00","0,00",2020
74b84ade8341f0a5fc99861566b1591f,"4,50","104,50",2020
